iter	Passed	Remaining
0	2	206
1	4	206
2	5	192
3	7	181
4	9	175
5	10	170
6	13	182
7	15	182
8	17	178
9	19	172
10	20	167
11	22	162
12	23	158
13	25	153
14	26	149
15	29	153
16	30	149
17	31	145
18	33	141
19	34	137
20	35	134
21	37	131
22	38	128
23	39	125
24	40	122
25	43	123
26	44	121
27	46	118
28	47	116
29	48	113
30	49	111
31	51	108
32	52	106
33	53	104
34	55	102
35	56	100
36	59	100
37	60	98
38	61	96
39	63	94
40	64	92
41	65	90
42	67	88
43	67	86
44	69	84
45	70	82
46	71	80
47	74	80
48	75	78
49	76	76
50	78	75
51	79	73
52	81	72
53	83	70
54	84	69
55	85	67
56	87	65
57	89	64
58	91	63
59	93	62
60	94	60
61	95	58
62	96	56
63	98	55
64	99	53
65	100	51
66	101	50
67	104	49
68	106	47
69	107	46
70	108	44
71	109	42
72	111	41
73	112	39
74	113	37
75	114	36
76	116	34
77	119	33
78	120	31
79	121	30
80	122	28
81	124	27
82	125	25
83	126	24
84	127	22
85	129	21
86	130	19
87	135	18
88	136	16
89	137	15
90	139	13
91	140	12
92	141	10
93	142	9
94	144	7
95	145	6
96	146	4
97	149	3
98	150	1
99	152	0
