iter	RMSE
0	14.6993818
1	14.32138846
2	13.92786402
3	13.55268976
4	13.21163257
5	12.923454
6	12.62074995
7	12.3338845
8	12.04876412
9	11.76324807
10	11.48227848
11	11.24651923
12	10.98852199
13	10.74809296
14	10.50419254
15	10.27342492
16	10.09826138
17	9.892334398
18	9.715982234
19	9.537738623
20	9.350625078
21	9.167917954
22	9.01667901
23	8.849587068
24	8.690613932
25	8.539674433
26	8.403231264
27	8.274699303
28	8.139626383
29	8.021497447
30	7.90525453
31	7.789950461
32	7.679429397
33	7.578172559
34	7.489644325
35	7.390599711
36	7.304176998
37	7.208291427
38	7.129355564
39	7.049414876
40	6.967320692
41	6.894190741
42	6.815747261
43	6.745690389
44	6.679608946
45	6.620342814
46	6.556064288
47	6.504917776
48	6.445934539
49	6.395516789
50	6.345019859
51	6.299519596
52	6.255010465
53	6.199954929
54	6.149285952
55	6.101590834
56	6.063646153
57	6.030529213
58	5.995911876
59	5.954950819
60	5.91709111
61	5.889634474
62	5.8569138
63	5.831411776
64	5.805104052
65	5.775143976
66	5.751105726
67	5.727645877
68	5.71095621
69	5.683445552
70	5.655271725
71	5.630165647
72	5.612202637
73	5.589473324
74	5.566806306
75	5.544610712
76	5.525286588
77	5.506977428
78	5.490925404
79	5.471306511
80	5.452956177
81	5.436310602
82	5.419376662
83	5.40206284
84	5.386329017
85	5.372707322
86	5.358920434
87	5.350466212
88	5.338087287
89	5.323841258
90	5.311898569
91	5.297999818
92	5.287697947
93	5.274265531
94	5.263899645
95	5.253234772
96	5.249984068
97	5.241313954
98	5.233039641
99	5.223704486
100	5.210574189
101	5.201173216
102	5.191857503
103	5.178220501
104	5.170829114
105	5.160244864
106	5.153099786
107	5.142132676
108	5.132888598
109	5.12300885
110	5.116037498
111	5.109225576
112	5.097835673
113	5.09136253
114	5.086254442
115	5.079939044
116	5.072112527
117	5.061451399
118	5.053602344
119	5.046839823
120	5.037541361
121	5.033401928
122	5.028422303
123	5.023232023
124	5.017252565
125	5.00785671
126	5.004563341
127	4.996468133
128	4.993033605
129	4.983396753
130	4.978054314
131	4.972682542
132	4.966785943
133	4.959612805
134	4.952419435
135	4.945839966
136	4.938292054
137	4.932106044
138	4.924525673
139	4.91795522
140	4.907693363
141	4.90100392
142	4.896214364
143	4.89369949
144	4.885727142
145	4.87963267
146	4.875635549
147	4.872450332
148	4.869798621
149	4.864184995
150	4.859956339
151	4.855987043
152	4.853181056
153	4.848569321
154	4.842712744
155	4.83566322
156	4.832685635
157	4.829694777
158	4.824923411
159	4.821911626
160	4.814465626
161	4.810230085
162	4.807961583
163	4.802457194
164	4.79826005
165	4.793179032
166	4.788327841
167	4.78185808
168	4.778110198
169	4.771743745
170	4.768213025
171	4.764379061
172	4.761009029
173	4.754800711
174	4.754486798
175	4.751929319
176	4.747764005
177	4.744481953
178	4.741241433
179	4.738233584
180	4.732494406
181	4.728410831
182	4.723529342
183	4.718910387
184	4.714487948
185	4.710530777
186	4.705776525
187	4.70217756
188	4.69762969
189	4.692391078
190	4.689816748
191	4.687144315
192	4.684303829
193	4.680792557
194	4.677516266
195	4.674128581
196	4.667793738
197	4.664156653
198	4.662681368
199	4.658493304
200	4.65551407
201	4.650056439
202	4.644239774
203	4.642198255
204	4.638294472
205	4.632930536
206	4.632067133
207	4.628845512
208	4.624551942
209	4.621333944
210	4.617391846
211	4.615182748
212	4.608773063
213	4.606770819
214	4.600297406
215	4.596770177
216	4.590329914
217	4.58736706
218	4.581418755
219	4.578560639
220	4.574083178
221	4.572351595
222	4.56940719
223	4.565683966
224	4.562537788
225	4.557712063
226	4.553492566
227	4.552000562
