iter	Passed	Remaining
0	224	223962
1	226	112862
2	227	75768
3	229	57220
4	232	46201
5	235	38951
6	236	33619
7	238	29625
8	240	26520
9	260	25829
10	265	23908
11	267	22059
12	271	20581
13	273	19228
14	274	18057
15	277	17054
16	278	16096
17	281	15351
18	284	14677
19	286	14018
20	287	13424
21	289	12879
22	291	12384
23	293	11929
24	297	11584
25	299	11217
26	301	10856
27	303	10520
28	304	10205
29	324	10488
30	326	10203
31	328	9932
32	330	9676
33	332	9438
34	333	9208
35	335	8993
36	337	8777
37	341	8646
38	343	8459
39	345	8283
40	347	8117
41	349	7962
42	350	7808
43	352	7666
44	377	8004
45	378	7859
46	380	7722
47	382	7594
48	384	7469
49	386	7348
50	388	7231
51	390	7117
52	422	7554
53	424	7441
54	429	7378
55	431	7275
56	433	7170
57	435	7071
58	437	6974
59	439	6880
60	441	6789
61	444	6723
62	446	6636
63	448	6552
64	449	6470
65	451	6391
66	471	6559
67	472	6481
68	475	6415
69	478	6357
70	480	6285
71	482	6216
72	484	6153
73	486	6087
74	488	6023
75	492	5992
76	494	5931
77	496	5870
78	498	5814
79	501	5768
80	518	5882
81	520	5824
82	524	5795
83	526	5739
84	528	5685
85	530	5637
86	532	5586
87	533	5526
88	535	5476
89	538	5443
90	540	5398
91	542	5352
92	544	5307
93	547	5278
94	549	5235
95	551	5191
96	552	5140
97	558	5140
98	560	5100
99	562	5060
100	565	5030
101	567	4998
102	601	5239
103	606	5228
104	610	5203
105	612	5164
106	615	5135
107	617	5101
108	622	5090
109	624	5053
110	626	5017
111	639	5071
112	645	5063
113	647	5033
114	649	4998
115	704	5366
116	706	5329
117	707	5291
118	709	5256
119	711	5221
120	713	5186
121	716	5156
122	719	5129
123	721	5095
124	723	5062
125	725	5029
126	726	4996
127	728	4963
128	732	4943
129	734	4916
130	736	4887
131	738	4856
132	742	4843
133	744	4814
134	746	4784
135	748	4755
136	750	4726
137	752	4698
138	754	4670
139	759	4664
140	761	4638
141	763	4612
142	765	4587
143	767	4560
144	794	4682
145	817	4779
146	818	4751
147	823	4742
148	825	4714
149	827	4687
150	829	4661
151	869	4848
152	873	4838
153	875	4811
154	877	4784
155	879	4759
156	881	4733
157	883	4708
158	889	4704
159	891	4679
160	893	4654
161	895	4630
162	897	4608
163	899	4584
164	903	4573
165	905	4550
166	911	4545
167	913	4522
168	915	4499
169	920	4492
170	922	4470
171	924	4448
172	925	4425
173	927	4404
174	928	4378
175	930	4356
176	934	4345
177	936	4325
178	956	4388
179	959	4369
180	960	4348
181	962	4327
182	971	4338
183	973	4317
184	975	4298
185	977	4278
186	980	4260
187	983	4246
188	985	4226
189	986	4206
190	988	4187
191	990	4168
192	992	4148
193	1012	4207
194	1017	4200
195	1019	4181
196	1021	4162
197	1022	4143
198	1024	4125
199	1026	4107
200	1031	4100
201	1033	4082
202	1035	4063
203	1037	4046
204	1038	4028
205	1040	4011
206	1042	3992
207	1043	3975
208	1045	3958
209	1089	4097
210	1091	4081
211	1093	4063
212	1095	4046
213	1097	4031
214	1099	4014
215	1101	3997
216	1105	3989
217	1107	3974
218	1110	3958
219	1112	3943
220	1115	3930
221	1120	3927
222	1123	3915
223	1138	3945
224	1140	3929
225	1143	3916
226	1172	3992
227	1174	3975
228	1176	3959
229	1177	3943
230	1179	3927
231	1181	3911
232	1187	3909
233	1190	3895
234	1191	3880
235	1194	3865
236	1196	3851
237	1202	3850
238	1243	3960
239	1246	3945
240	1250	3936
241	1252	3922
242	1254	3907
243	1256	3892
244	1258	3877
245	1259	3861
246	1262	3847
247	1267	3844
248	1269	3829
249	1271	3814
250	1273	3801
251	1275	3786
252	1277	3771
253	1312	3853
254	1317	3848
255	1319	3834
256	1321	3819
257	1322	3804
258	1324	3790
259	1326	3775
260	1330	3767
261	1332	3753
262	1334	3738
263	1336	3724
264	1337	3710
265	1339	3696
266	1342	3685
267	1347	3681
268	1383	3759
269	1386	3747
270	1391	3743
271	1397	3740
272	1399	3727
273	1401	3714
274	1403	3700
275	1405	3687
276	1407	3673
277	1411	3665
278	1413	3651
279	1415	3638
280	1417	3625
281	1418	3612
282	1436	3640
283	1438	3627
284	1440	3613
285	1442	3601
286	1444	3589
287	1446	3576
288	1448	3564
289	1450	3551
290	1452	3539
291	1456	3532
292	1458	3519
293	1460	3508
294	1462	3495
295	1464	3483
296	1466	3471
297	1509	3554
298	1511	3542
299	1513	3530
300	1514	3517
301	1516	3505
302	1518	3492
303	1522	3485
304	1524	3473
305	1526	3461
306	1528	3449
307	1530	3437
308	1532	3426
309	1573	3501
310	1576	3492
311	1578	3481
312	1581	3470
313	1586	3465
314	1589	3457
315	1591	3445
316	1593	3433
317	1595	3421
318	1597	3409
319	1601	3402
320	1603	3391
321	1605	3380
322	1607	3369
323	1638	3418
324	1640	3407
325	1642	3395
326	1644	3383
327	1645	3371
328	1647	3360
329	1649	3348
330	1651	3337
331	1656	3332
332	1676	3358
333	1678	3346
334	1680	3336
335	1682	3324
336	1684	3313
337	1693	3316
338	1695	3305
339	1697	3295
340	1699	3284
341	1703	3277
342	1705	3266
343	1707	3255
344	1709	3244
345	1710	3234
346	1712	3223
347	1744	3269
348	1747	3259
349	1751	3252
350	1753	3242
351	1755	3232
352	1757	3222
353	1759	3211
354	1762	3203
355	1767	3197
356	1769	3187
357	1771	3176
358	1773	3166
359	1775	3156
360	1777	3146
361	1779	3136
362	1794	3148
363	1796	3138
364	1800	3132
365	1802	3122
366	1804	3111
367	1806	3101
368	1807	3091
369	1809	3081
370	1811	3071
371	1816	3065
372	1817	3055
373	1820	3046
374	1822	3037
375	1824	3027
376	1826	3017
377	1833	3017
378	1867	3060
379	1869	3050
380	1871	3040
381	1873	3031
382	1875	3021
383	1879	3014
384	1881	3005
385	1883	2995
386	1885	2985
387	1886	2976
388	1888	2966
389	1890	2956
390	1892	2947
391	1894	2938
392	1896	2929
393	1926	2963
394	1929	2954
395	1955	2983
396	1960	2977
397	1964	2971
398	1967	2963
399	1969	2954
400	1971	2944
401	1975	2938
402	1978	2930
403	1983	2926
404	1986	2917
405	1991	2914
406	2015	2936
407	2017	2927
408	2019	2917
409	2025	2914
410	2026	2904
411	2028	2895
412	2030	2885
413	2032	2876
414	2034	2867
415	2035	2858
416	2039	2851
417	2041	2842
418	2043	2833
419	2045	2824
420	2049	2818
421	2051	2809
422	2092	2854
423	2094	2845
424	2100	2841
425	2102	2833
426	2104	2824
427	2106	2815
428	2108	2806
429	2110	2797
430	2114	2791
431	2116	2782
432	2118	2773
433	2120	2765
434	2122	2756
435	2124	2748
436	2130	2744
437	2154	2764
438	2156	2755
439	2158	2747
440	2164	2744
441	2166	2735
442	2169	2727
443	2170	2718
444	2172	2709
445	2174	2701
446	2181	2698
447	2224	2741
448	2229	2736
449	2231	2727
450	2233	2718
451	2235	2709
452	2236	2701
453	2238	2692
454	2240	2683
455	2244	2677
456	2246	2669
457	2248	2661
458	2250	2652
459	2252	2644
460	2255	2636
461	2259	2631
462	2301	2669
463	2303	2660
464	2305	2652
465	2310	2647
466	2312	2638
467	2314	2630
468	2316	2622
469	2332	2630
470	2334	2622
471	2336	2613
472	2340	2607
473	2342	2598
474	2343	2590
475	2345	2582
476	2348	2574
477	2373	2592
478	2375	2584
479	2377	2575
480	2379	2567
481	2381	2559
482	2383	2551
483	2385	2543
484	2391	2539
485	2393	2531
486	2395	2523
487	2396	2514
488	2399	2507
489	2406	2505
490	2408	2497
491	2410	2488
492	2421	2490
493	2423	2482
494	2425	2474
495	2427	2466
496	2429	2458
497	2430	2450
498	2435	2445
499	2438	2438
500	2439	2430
501	2441	2422
502	2443	2414
503	2445	2406
504	2447	2398
505	2451	2393
506	2453	2385
507	2454	2377
508	2477	2389
509	2479	2381
510	2480	2374
511	2484	2368
512	2486	2360
513	2488	2353
514	2490	2345
515	2492	2337
516	2494	2330
517	2495	2322
518	2499	2316
519	2501	2308
520	2503	2301
521	2504	2293
522	2506	2286
523	2518	2287
524	2520	2280
525	2522	2272
526	2523	2265
527	2525	2257
528	2527	2250
529	2532	2245
530	2533	2238
531	2535	2230
532	2540	2225
533	2542	2218
534	2546	2213
535	2548	2206
536	2550	2198
537	2552	2191
538	2554	2184
539	2576	2194
540	2585	2193
541	2587	2186
542	2588	2178
543	2592	2173
544	2594	2166
545	2596	2159
546	2609	2160
547	2611	2153
548	2613	2146
549	2614	2139
550	2616	2132
551	2618	2125
552	2620	2118
553	2624	2113
554	2642	2119
555	2644	2111
556	2646	2104
557	2648	2097
558	2649	2090
559	2651	2083
560	2656	2078
561	2663	2075
562	2665	2068
563	2667	2061
564	2671	2057
565	2673	2050
566	2675	2043
567	2677	2036
568	2679	2029
569	2681	2022
570	2683	2016
571	2685	2009
572	2686	2002
573	2688	1995
574	2690	1988
575	2693	1982
576	2696	1976
577	2699	1970
578	2701	1964
579	2703	1957
580	2705	1951
581	2714	1949
582	2716	1943
583	2718	1936
584	2721	1930
585	2723	1924
586	2725	1917
587	2731	1913
588	2733	1907
589	2735	1900
590	2737	1894
591	2739	1887
592	2744	1883
593	2747	1877
594	2749	1871
595	2750	1864
596	2753	1859
597	2755	1852
598	2788	1866
599	2799	1866
600	2801	1860
601	2804	1854
602	2806	1847
603	2812	1843
604	2814	1837
605	2816	1831
606	2819	1825
607	2822	1819
608	2828	1816
609	2830	1809
610	2832	1803
611	2834	1797
612	2836	1791
613	2869	1803
614	2875	1800
615	2878	1794
616	2894	1796
617	2896	1790
618	2898	1783
619	2900	1777
620	2903	1771
621	2907	1766
622	2909	1760
